"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"Esv4 Series","Standard_E8-2s_v4","E8-2s_v4_Low_Priority","E8-2s v4","Linux","Low Priority","Low Priority","8","64","16","1023","0","0.101","74.740"
"Av2 Series","Standard_A1_v2","A1_v2","A1 v2","Linux","Standard","Standard","1","2","2","1023","10","0.043","31.820"
"Edsv4 Series","Standard_E80ids_v4","E80ids_v4","E80ids v4","Windows","Standard","Standard","80","504","32","1023","4260","9.44","6985.60"
"Eav4/Easv4 Series","Standard_E32-16as_v4","E32-16as_v4","E32-16as_v4","Linux","Standard","Standard","32","256","32","1023","512","2.016","1491.840"
"Edsv4 Series","Standard_E64-16ds_v4","E64-16ds_v4_Low_Priority","E64-16ds v4","Linux","Low Priority","Low Priority","64","504","32","1023","2400","0.922","682.280"
"Av2 Series","Standard_A8m_v2","A8m_v2","A8m v2","Linux","Standard","Standard","8","64","16","1023","80","0.524","387.760"
"FSv2 Series","Standard_F48s_v2","F48s_v2_Low_Priority","F48s v2","Windows","Low Priority","Low Priority","48","96","32","1023","384","1.696","1255.040"
"MSv2 Series","Standard_M208s_v2","M208s_v2_Low_Priority","M208s v2","Windows","Low Priority","Low Priority","208","2850","64","1023","4096","12.751","9435.740"
"Dv4 Series","Standard_D32_v4","D32_v4","D32 v4","Linux","Standard","Standard","32","128","32","1023","0","1.536","1136.640"
"Eav4/Easv4 Series","Standard_E96-48as_v4","E96-48as_v4","E96-48as_v4","Windows","Standard","Standard","96","672","32","1023","1344","10.464","7743.360"
"Eav4/Easv4 Series","Standard_E8-4as_v4","E8-4as_v4_Low_Priority","E8-4as_v4","Linux","Low Priority","Low Priority","8","64","16","1023","128","0.101","74.740"
"Eav4/Easv4 Series","Standard_E8-2as_v4","E8-2as_v4_Low_Priority","E8-2as_v4","Windows","Low Priority","Low Priority","8","64","16","1023","128","0.349","258.260"
"Esv4 Series","Standard_E8-4s_v4","E8-4s_v4","E8-4s v4","Windows","Standard","Standard","8","64","16","1023","0","0.872","645.280"
"LS Series","Standard_L16s_v2","L16s_Low_Priority","L16s","Linux","Low Priority","Low Priority","16","128","32","1023","3576","0.275","203.500"
"LS Series","Standard_L16s","L16s_Low_Priority","L16s","Linux","Low Priority","Low Priority","16","128","64","1023","2807","0.275","203.500"
"Ddsv4 Series","Standard_D16ds_v4","D16ds_v4_Low_Priority","D16ds v4","Windows","Low Priority","Low Priority","16","64","32","1023","600","0.656","485.440"
"Edv4 Series","Standard_E2d_v4","E2d_v4","E2d v4","Linux","Standard","Standard","2","16","4","1023","75","0.144","106.560"
"MSv2 Series","Standard_M208ms_v2","M208ms_v2","M208ms v2","Windows","Standard","Standard","208","5700","64","1023","4096","54.188","40099.120"
"NCSv3 Series","Standard_NC12s_v3","NC12s_v3_Low_Priority","NC12s v3","Windows","Low Priority","Low Priority","12","224","24","1023","672","2.67264","1977.75360"
"Ddsv4 Series","Standard_D4ds_v4","D4ds_v4","D4ds v4","Linux","Standard","Standard","4","16","8","1023","150","0.226","167.240"
"A Series","Standard_A4m_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","32","8","1023","40","0.2368","175.2320"
"A Series","Standard_A4_v2","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","4","8","8","1023","40","0.2368","175.2320"
"A Series","Standard_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","605","0.2368","175.2320"
"A Series","Basic_A4","A4_Low_Priority","A4","Windows","Low Priority","Low Priority","8","14","16","1023","240","0.2368","175.2320"
"Ddv4 Series","Standard_D2d_v4","D2d_v4_Low_Priority","D2d v4","Windows","Low Priority","Low Priority","2","8","4","1023","75","0.082","60.680"
"Av2 Series","Standard_A2m_v2","A2m_v2_Low_Priority","A2m v2","Linux","Low Priority","Low Priority","2","16","4","1023","20","0.024","17.760"
"A Series","Standard_A1_v2","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","2","2","1023","10","0.036","26.640"
"A Series","Standard_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","70","0.036","26.640"
"A Series","Basic_A1","A1_Low_Priority","A1","Windows","Low Priority","Low Priority","1","1.75","2","1023","40","0.036","26.640"
"LS Series","Standard_L4s","L4s_Low_Priority","L4s","Linux","Low Priority","Low Priority","4","32","16","1023","678","0.0686","50.7640"
"Edv4 Series","Standard_E20d_v4","E20d_v4_Low_Priority","E20d v4","Windows","Low Priority","Low Priority","20","160","32","1023","750","0.944","698.560"
